Age,Entry ID,Gender,City,State Province,Zip Postcode,Application Date,Application Status ,Classification Description,Offer Reply Date,Offer Sent Date,Apply for Scholarship?,Children accompanied?,Partner accompanied?,Location offered,Room Type offered,Aboriginal/Torres Strait Islander,Course Description,Enrollment Class,1st Room Preference,2nd Room Preference,3rd Room Preference,4th Room Preference,5th Room Preference,6th Room Preference
19,400001,Male,City 1,Province 1,1234,11/1/2024,Offer Accepted,New ,11/21/24,11/20/24,TRUE,FALSE,FALSE,APT-1,Single Room,No ,Program 1,Undergraduate,Single Room - APT-1,Two Bedroom - APT-3,Five Bedroom - APT-3,Two Bedroom- College-3,Five Bedroom - APT-1,Five Bedroom - APT-5
25,400002,Female,International,International,,11/16/24,Offer Declined,Returner,11/21/24,11/20/24,FALSE,FALSE,FALSE,APT-3,1-Bedroom,No ,Program 2,Postgraduate,Two Bedroom - College-1,Single Room - APT-1,Single Room - APT-5,,,
,400003,Prefer not to say,City 3,Province 10,2300,11/3/23,Offer Accepted,New ,11/24/24,11/20/24,FALSE,FALSE,FALSE,APT-5,2-Bedroom ,,Program 3,PhD,One Bedroom - College-3,Two Bedroom - College-3,Single Room - APT-1,,,
17,400004,Other,International,International,1234,10/5/24,Offer Declined,New ,11/30/24,11/20/24,TRUE,FALSE,FALSE,College-1,5-Bedroom,No ,Program 2,PhD,Single Room - APT-1,Single Room - APT-5,One Bedroom - College-3,Two Bedroom- College-5,Five Bedroom - APT-1,
20,400005,Male,City 5,Province 1,1234,01/5/23,Offer Accepted,Returner,1/24/24,1/20/24,TRUE,FALSE,FALSE,APT-3,Single Room,No ,Program 2,PhD,Two Bedroom - College-5,Two Bedroom - College-5,Single Room - APT-5,,,
23,400006,Male,International,International,1234,02/02/23,Offer Declined,New ,02/13/24,02/10/24,FALSE,FALSE,FALSE,College-5,5-Bedroom,No ,Program 1,Undergraduate,Two Bedroom - APT-3,Two Bedroom - APT-1,One Bedroom - College-5,,,
23,400007,Prefer not to say,International,International,2000,03/03/24,Offer Declined,New ,03/1/24,03/10/24,TRUE,FALSE,FALSE,College-5,5-Bedroom,No ,Program 1,Undergraduate,Single Room - APT 1,One Bedroom - APT 3,Single Room - APT-5,Five Bedroom - APT-5,,
17,400008,Prefer not to say,City 8,Province 2,,04/04/24,Offer Accepted,Returner,03/14/24,03/10/24,TRUE,TRUE,TRUE,APT-5,Single Room,No ,Program 2,Postgraduate,Single Room - APT-5,Single Room - APT-3,Two Bedroom - College-3,,,
17,400009,Prefer not to say,City 9,Province 9,1234,05/05/24,Offer Accepted,Returner,5/30/24,05/10/24,TRUE,FALSE,FALSE,College-1,5-Bedroom,No ,Program 3,Postgraduate,One Bedroom - APT-1,Single Room - APT-3,Five Bedroom - APT-3,,,
17,400010,Female,International,International,,06/06/23,Offer Accepted,Returner,6/19/24,06/10/24,TRUE,FALSE,FALSE,APT-3,5-Bedroom,No ,Program 2,PhD,Single Room - APT-1,One Bedroom - APT-5,Single Room - APT-5,,,
19,400011,Male,International,International,,07/07/23,Offer Accepted,New ,7/13/24,07/10/24,TRUE,FALSE,TRUE,APT-5,Single Room,No ,Program 1,Postgraduate,Five Bedroom - APT-3,Five Bedroom - APT-1,Five Bedroom - APT-5,,,
19,400012,Other,City 12,Province 3,2100,08/08/24,Offer Accepted,New ,8/20/24,08/15/24,TRUE,FALSE,FALSE,APT-5,Single Room,No ,Program 2,Undergraduate,Single Room - APT-1,Single Room - APT-3,Single Room - APT-5,Five Bedroom - APT-5,Five Bedroom - APT-1,
25,400013,Male,International,International,,09/09/23,Offer Accepted,New ,,,FALSE,TRUE,TRUE,APT-3,2-Bedroom ,No ,Program 2,Postgraduate,Five Bedroom - APT-5,Five Bedroom - APT-1,Single Room - College-5,,,
22,400014,Prefer not to say,City 14,Province 3,1234,10/10/24,Offer Accepted,New ,9/21/24,09/20/24,TRUE,TRUE,FALSE,APT-5,1-Bedroom,No ,Program 1,Undergraduate,One Bedroom - APT-5,Single Room - APT-1,Single Room - APT-5,,,
17,400015,Prefer not to say,City 15,International,1234,10/20/23,Offer Accepted,New ,11/10/23,11/10/23,TRUE,TRUE,TRUE,APT-5,1-Bedroom,No ,Program 1,Postgraduate,Two Bedroom - APT-5,Five Bedroom - APT-3,One Bedroom - APT-5,,,
24,400016,Other,City 16,Province 3,1234,10/29/23,Offer Declined,New ,11/17/23,11/9/23,TRUE,FALSE,FALSE,College-5,5-Bedroom,Yes,Program 3,Undergraduate,One Bedroom - College-1,Single Room - APT-3,Single Room - APT-5,Five Bedroom - APT-5,,
22,400017,Male,International,International,,11/25/23,Offer Accepted,Returner,12/12/23,12/10/23,TRUE,FALSE,FALSE,APT-1,1-Bedroom,No ,Program 3,Postgraduate,Single Room - APT-1,One Bedroom - APT-1,Single Room - APT-5,,,
20,400018,Female,City 18,Province 9,1234,11/30/24,Offer Accepted,Returner,12/14/23,12/10/23,TRUE,FALSE,FALSE,College-1,2-Bedroom ,No ,Program 3,Postgraduate,Two Bedroom - APT-1,One Bedroom - APT-3,Two Bedroom - APT-5,,,
17,400019,Prefer not to say,International,International,,11/01/23,Offer Declined,Returner,11/20/23,11/10/23,TRUE,FALSE,FALSE,College-5,5-Bedroom,No ,Program 2,PhD,Single Room - APT-1,Single Room - APT-1,Five Bedroom - APT-5,,,
24,400020,Other,City 20,Province 9,1234,12/12/24,Offer Accepted,New ,,,TRUE,FALSE,FALSE,APT-1,1-Bedroom,No ,Program 3,PhD,One Bedroom - APT-1,Two Bedroom - APT-1,Single Room - APT-5,Five Bedroom - APT-5,Five Bedroom - APT-1,
19,400021,Female,International,International,1234,10/01/23,Offer Accepted,Returner,11/14/23,11/10/23,FALSE,FALSE,FALSE,APT-1,2-Bedroom ,No ,Program 3,Undergraduate,Single Room - APT-1,One Bedroom - APT-3,Five Bedroom - APT-5,,,
